SaleID,SaleDate,StoreName,Region,OpeningDate,ProductName,Category,UnitPrice,QuantitySold,Revenue
300001,2023-12-06,Store O-14,Prairies,2015-09-26,Electronics Camera 70,Electronics,282.14,2,564.28
300002,2021-07-25,Store W-48,Atlantic,2015-11-06,Electronics Monitor 96,Electronics,860.79,1,860.79
300003,2023-05-30,Store V-47,Prairies,2015-10-27,Electronics Router 34,Electronics,257.0,1,257.0
300004,2025-09-15,Store H-59,Prairies,2016-01-14,Grocery Granola 62,Grocery,30.0,1,30.0
300005,2022-09-15,Store L-11,Prairies,2016-01-22,Clothing Hoodie 94,Clothing,32.19,2,64.38
300006,2020-10-04,Store Y-50,Prairies,2015-08-26,Home Lamp 14,Home,70.22,1,70.22
300007,2023-05-04,Store A-52,Atlantic,2016-05-03,Beauty Conditioner 66,Beauty,98.0,2,196.0
300008,2025-03-02,Store M-38,West,2015-10-04,Outdoor Tent 22,Outdoor,58.21,1,58.21
300009,2021-04-28,Store E-30,Prairies,2016-01-24,Electronics Monitor 84,Electronics,163.21,1,163.21
300010,2023-06-19,Store F-57,Central,2015-10-23,Electronics Laptop 50,Electronics,655.87,1,655.87
300011,2021-12-31,Store G-58,Central,2016-01-20,Outdoor Kayak 27,Outdoor,255.89,2,511.78
300012,2022-11-06,Store M-38,West,2015-10-04,Beauty Shampoo 58,Beauty,20.8,1,20.8
300013,2022-07-06,Store V-21,Prairies,2015-07-13,Outdoor Water Bottle 30,Outdoor,172.73,1,172.73
300014,2022-06-04,Store W-48,Atlantic,2015-11-06,Toys Blocks 03,Toys,29.78,2,59.56
300015,2020-01-22,Store F-05,Prairies,2016-04-06,Home Vacuum 26,Home,114.93,1,114.93
300016,2021-04-18,Store R-17,Central,2015-10-28,Outdoor Water Bottle 30,Outdoor,172.73,1,172.73
300017,2021-12-04,Store H-59,Prairies,2016-01-14,Toys RC Car 86,Toys,15.42,1,15.42
300018,2021-11-17,Store W-48,Atlantic,2015-11-06,Outdoor Gloves 88,Outdoor,184.44,1,184.44
300019,2020-10-11,Store E-56,Atlantic,2015-09-07,Home Toaster 78,Home,40.74,1,40.74
300020,2021-12-16,Store J-35,Atlantic,2016-05-06,Clothing T-Shirt 10,Clothing,98.96,4,395.84
300021,2022-02-01,Store Z-25,Prairies,2016-01-01,Electronics Camera 97,Electronics,453.95,1,453.95
300022,2023-06-04,Store G-58,Central,2016-01-20,Home Mattress 33,Home,155.3,1,155.3
300023,2022-08-05,Store S-18,West,2015-12-05,Beauty Conditioner 57,Beauty,31.36,1,31.36
300024,2022-10-27,Store T-45,West,2016-09-08,Outdoor Lantern 09,Outdoor,333.68,1,333.68
300025,2020-01-29,Store H-33,Central,2016-03-11,Home Cookware 07,Home,90.42,1,90.42
300026,2022-06-25,Store O-14,Prairies,2015-09-26,Electronics Drone 64,Electronics,283.91,2,567.82
300027,2021-07-23,Store A-00,Prairies,2016-02-20,Beauty Lotion 16,Beauty,60.14,1,60.14
300028,2025-06-29,Store X-23,Prairies,2016-01-04,Electronics Tablet 49,Electronics,328.12,1,328.12
300029,2023-12-24,Store G-32,Central,2015-09-10,Grocery Tea 38,Grocery,4.21,1,4.21
300030,2022-01-07,Store L-11,Prairies,2016-01-22,Beauty Face Cream 15,Beauty,29.2,2,58.4
300031,2021-05-30,Store Z-25,Prairies,2016-01-01,Clothing Scarf 71,Clothing,72.32,1,72.32
300032,2025-06-23,Store L-37,West,2015-10-25,Electronics Tablet 16,Electronics,363.68,1,363.68
300033,2020-02-08,Store Q-42,Central,2016-01-30,Grocery Rice 33,Grocery,4.94,4,19.76
300034,2022-06-05,Store D-03,Prairies,2015-11-04,Grocery Chocolate 16,Grocery,13.47,1,13.47
300035,2023-01-03,Store N-39,Central,2015-11-11,Outdoor Gloves 88,Outdoor,184.44,2,368.88
300036,2024-12-28,Store D-03,Prairies,2015-11-04,Grocery Rice 70,Grocery,2.9,1,2.9
300037,2024-09-06,Store B-01,Prairies,2015-11-17,Electronics Tablet 17,Electronics,556.99,1,556.99
300038,2022-08-31,Store I-08,Prairies,2016-01-11,Home Blender 19,Home,63.57,4,254.28
300039,2024-04-11,Store N-39,Central,2015-11-11,Grocery Rice 33,Grocery,4.94,1,4.94
300040,2022-09-15,Store D-03,Prairies,2015-11-04,Beauty Mask 55,Beauty,25.34,1,25.34
300041,2020-01-21,Store B-01,Prairies,2015-11-17,Electronics Laptop 72,Electronics,470.2,1,470.2
300042,2022-05-18,Store G-06,Central,2015-10-05,Home Lamp 98,Home,98.34,1,98.34
300043,2020-03-24,Store F-57,Central,2015-10-23,Clothing Scarf 30,Clothing,32.7,2,65.4
300044,2024-08-09,Store C-54,Prairies,2015-12-21,Outdoor Backpack 76,Outdoor,96.92,1,96.92
300045,2025-05-30,Store F-05,Prairies,2016-04-06,Outdoor Tent 48,Outdoor,113.63,3,340.89
300046,2023-11-11,Store S-18,West,2015-12-05,Electronics Tablet 82,Electronics,244.71,1,244.71
300047,2024-03-10,Store F-57,Central,2015-10-23,Beauty Lotion 23,Beauty,21.95,4,87.8
300048,2021-07-23,Store F-05,Prairies,2016-04-06,Grocery Cereal 05,Grocery,8.4,1,8.4
300049,2022-07-22,Store F-05,Prairies,2016-04-06,Clothing Hoodie 05,Clothing,21.26,3,63.78
300050,2025-06-03,Store F-05,Prairies,2016-04-06,Grocery Beans 67,Grocery,11.36,1,11.36
300051,2025-01-29,Store G-58,Central,2016-01-20,Grocery Tea 38,Grocery,4.21,2,8.42
300052,2022-03-03,Store S-44,Central,2015-12-01,Outdoor Water Bottle 21,Outdoor,283.89,1,283.89
300053,2022-03-02,Store N-13,Prairies,2015-11-05,Beauty Conditioner 56,Beauty,82.62,1,82.62
300054,2024-12-14,Store C-02,West,2015-11-04,Beauty Shampoo 58,Beauty,20.8,1,20.8
300055,2023-07-18,Store G-58,Central,2016-01-20,Electronics Tablet 15,Electronics,534.28,1,534.28
300056,2024-05-26,Store A-26,Central,2015-11-20,Toys Action Figure 77,Toys,31.1,1,31.1
300057,2022-12-19,Store K-36,Prairies,2015-08-22,Outdoor Lantern 91,Outdoor,199.62,1,199.62
300058,2022-09-11,Store R-17,Central,2015-10-28,Electronics TV 46,Electronics,183.23,1,183.23
300059,2024-08-07,Store T-45,West,2016-09-08,Outdoor Backpack 28,Outdoor,56.51,1,56.51
300060,2021-06-03,Store M-12,Prairies,2016-08-18,Home Chair 79,Home,113.86,1,113.86
300061,2021-08-13,Store U-46,Central,2015-12-19,Electronics Headphones 87,Electronics,410.34,3,1231.02
300062,2022-11-16,Store O-14,Prairies,2015-09-26,Clothing T-Shirt 23,Clothing,26.54,1,26.54
300063,2024-09-05,Store F-05,Prairies,2016-04-06,Clothing Hoodie 94,Clothing,32.19,1,32.19
300064,2025-07-28,Store D-29,Central,2016-05-29,Electronics Laptop 28,Electronics,842.04,1,842.04
300065,2020-12-14,Store W-48,Atlantic,2015-11-06,Home Desk 02,Home,68.6,1,68.6
300066,2022-08-17,Store X-23,Prairies,2016-01-04,Outdoor Gloves 32,Outdoor,564.85,1,564.85
300067,2025-05-17,Store B-01,Prairies,2015-11-17,Toys Plush 02,Toys,33.16,1,33.16
300068,2021-11-23,Store H-33,Central,2016-03-11,Home Lamp 35,Home,147.84,1,147.84
300069,2024-04-08,Store O-40,Central,2016-04-14,Electronics Drone 10,Electronics,541.06,1,541.06
300070,2021-01-12,Store S-44,Central,2015-12-01,Home Chair 96,Home,41.51,2,83.02
300071,2021-06-10,Store Y-24,North,2016-04-01,Clothing Jeans 48,Clothing,28.11,1,28.11
300072,2023-06-13,Store F-05,Prairies,2016-04-06,Toys Slime 93,Toys,59.11,1,59.11
300073,2025-02-18,Store J-35,Atlantic,2016-05-06,Toys Action Figure 37,Toys,15.14,1,15.14
300074,2024-10-29,Store T-19,Prairies,2015-07-30,Electronics TV 46,Electronics,183.23,1,183.23
300075,2021-06-04,Store F-57,Central,2015-10-23,Outdoor Water Bottle 14,Outdoor,380.13,1,380.13
300076,2024-08-28,Store E-30,Prairies,2016-01-24,Grocery Pasta 40,Grocery,26.65,1,26.65
300077,2022-10-13,Store C-28,Prairies,2015-10-06,Clothing T-Shirt 10,Clothing,98.96,3,296.88
300078,2022-10-10,Store S-18,West,2015-12-05,Outdoor Kayak 72,Outdoor,54.29,1,54.29
300079,2020-04-26,Store U-20,Atlantic,2016-04-16,Outdoor Kayak 27,Outdoor,255.89,1,255.89
300080,2023-09-29,Store E-30,Prairies,2016-01-24,Grocery Olive Oil 75,Grocery,4.52,1,4.52
300081,2021-08-06,Store S-18,West,2015-12-05,Toys Plush 13,Toys,13.9,1,13.9
300082,2021-01-29,Store B-53,Atlantic,2016-01-25,Clothing Scarf 89,Clothing,48.05,1,48.05
300083,2022-12-23,Store A-26,Central,2015-11-20,Electronics Speaker 07,Electronics,470.96,1,470.96
300084,2020-03-12,Store R-17,Central,2015-10-28,Beauty Sunscreen 07,Beauty,65.3,2,130.6
300085,2020-09-30,Store J-09,North,2015-05-14,Clothing Hoodie 03,Clothing,84.54,1,84.54
300086,2025-07-06,Store O-40,Central,2016-04-14,Clothing Dress 68,Clothing,21.73,1,21.73
300087,2023-09-05,Store B-01,Prairies,2015-11-17,Beauty Mask 55,Beauty,25.34,2,50.68
300088,2020-12-03,Store B-27,Central,2015-10-26,Toys Blocks 29,Toys,7.75,1,7.75
300089,2023-10-21,Store H-33,Central,2016-03-11,Electronics Phone 39,Electronics,707.9,1,707.9
300090,2021-08-29,Store U-20,Atlantic,2016-04-16,Home Blender 04,Home,185.22,2,370.44
300091,2020-06-14,Store S-44,Central,2015-12-01,Electronics Router 34,Electronics,257.0,1,257.0
300092,2024-04-16,Store O-40,Central,2016-04-14,Toys Yo-yo 81,Toys,16.08,1,16.08
300093,2025-08-20,Store G-58,Central,2016-01-20,Electronics Phone 42,Electronics,354.69,1,354.69
300094,2023-08-17,Store E-30,Prairies,2016-01-24,Clothing Hoodie 11,Clothing,42.22,1,42.22
300095,2021-12-29,Store G-32,Central,2015-09-10,Beauty Serum 76,Beauty,167.63,1,167.63
300096,2025-08-05,Store P-15,West,2015-12-23,Outdoor Cooler 24,Outdoor,82.14,1,82.14
300097,2020-04-11,Store X-23,Prairies,2016-01-04,Home Vacuum 78,Home,157.41,3,472.23
300098,2023-11-16,Store B-01,Prairies,2015-11-17,Clothing Hoodie 05,Clothing,21.26,2,42.52
300099,2022-02-17,Store P-41,West,2016-07-26,Electronics Headphones 87,Electronics,410.34,2,820.68
300100,2020-08-01,Store S-18,West,2015-12-05,Outdoor Backpack 28,Outdoor,56.51,1,56.51
300101,2023-01-16,Store G-32,Central,2015-09-10,Electronics Tablet 49,Electronics,328.12,1,328.12
300102,2024-04-25,Store P-15,West,2015-12-23,Grocery Pasta 40,Grocery,26.65,1,26.65
300103,2024-08-22,Store L-37,West,2015-10-25,Toys Action Figure 47,Toys,32.67,1,32.67
300104,2021-08-14,Store B-27,Central,2015-10-26,Beauty Face Cream 38,Beauty,59.55,4,238.2
300105,2023-08-26,Store D-29,Central,2016-05-29,Beauty Shampoo 68,Beauty,51.09,1,51.09
300106,2023-01-14,Store E-56,Atlantic,2015-09-07,Beauty Sunscreen 07,Beauty,65.3,1,65.3
300107,2021-12-14,Store Q-42,Central,2016-01-30,Outdoor Lantern 31,Outdoor,347.6,1,347.6
