SaleID,SaleDate,StoreID,ProductID,QuantitySold
300001,2023-12-06,1015,2271,2
300002,2021-07-25,1049,2297,1
300003,2023-05-30,1048,2235,1
300004,2025-09-15,1060,2263,1
300005,2022-09-15,1012,2095,2
300006,2020-10-04,1051,2215,1
300007,2023-05-04,1053,2067,2
300008,2025-03-02,1039,2023,1
300009,2021-04-28,1031,2185,1
300010,2023-06-19,1058,2251,1
300011,2021-12-31,1059,2028,2
300012,2022-11-06,1039,2059,1
300013,2022-07-06,1022,2031,1
300014,2022-06-04,1049,2204,2
300015,2020-01-22,1006,2027,1
300016,2021-04-18,1018,2031,1
300017,2021-12-04,1060,2087,1
300018,2021-11-17,1049,2089,1
300019,2020-10-11,1057,2179,1
300020,2021-12-16,1036,2011,4
300021,2022-02-01,1026,2198,1
300022,2023-06-04,1059,2134,1
300023,2022-08-05,1019,2058,1
300024,2022-10-27,1046,2210,1
300025,2020-01-29,1034,2108,1
300026,2022-06-25,1015,2265,2
300027,2021-07-23,1001,2317,1
300028,2025-06-29,1024,2250,1
300029,2023-12-24,1033,2239,1
300030,2022-01-07,1012,2116,2
300031,2021-05-30,1026,2172,1
300032,2025-06-23,1038,2017,1
300033,2020-02-08,1043,2234,4
300034,2022-06-05,1004,2217,1
300035,2023-01-03,1040,2089,2
300036,2024-12-28,1004,2171,1
300037,2024-09-06,1002,2218,1
300038,2022-08-31,1009,2120,4
300039,2024-04-11,1040,2234,1
300040,2022-09-15,1004,2256,1
300041,2020-01-21,1002,2073,1
300042,2022-05-18,1007,2099,1
300043,2020-03-24,1058,2131,2
300044,2024-08-09,1055,2077,1
300045,2025-05-30,1006,2249,3
300046,2023-11-11,1019,2183,1
300047,2024-03-10,1058,2124,4
300048,2021-07-23,1006,2006,1
300049,2022-07-22,1006,2106,3
300050,2025-06-03,1006,2268,1
300051,2025-01-29,1059,2239,2
300052,2022-03-03,1045,2022,1
300053,2022-03-02,1014,2257,1
300054,2024-12-14,1003,2059,1
300055,2023-07-18,1059,2316,1
300056,2024-05-26,1027,2278,1
300057,2022-12-19,1037,2292,1
300058,2022-09-11,1018,2247,1
300059,2024-08-07,1046,2229,1
300060,2021-06-03,1013,2080,1
300061,2021-08-13,1047,2188,3
300062,2022-11-16,1015,2224,1
300063,2024-09-05,1006,2095,1
300064,2025-07-28,1030,2129,1
300065,2020-12-14,1049,2303,1
300066,2022-08-17,1024,2133,1
300067,2025-05-17,1002,2103,1
300068,2021-11-23,1034,2036,1
300069,2024-04-08,1041,2111,1
300070,2021-01-12,1045,2197,2
300071,2021-06-10,1025,2049,1
300072,2023-06-13,1006,2194,1
300073,2025-02-18,1036,2238,1
300074,2024-10-29,1020,2247,1
300075,2021-06-04,1058,2315,1
300076,2024-08-28,1031,2141,1
300077,2022-10-13,1029,2011,3
300078,2022-10-10,1019,2273,1
300079,2020-04-26,1021,2028,1
300080,2023-09-29,1031,2276,1
300081,2021-08-06,1019,2314,1
300082,2021-01-29,1054,2290,1
300083,2022-12-23,1027,2308,1
300084,2020-03-12,1018,2008,2
300085,2020-09-30,1010,2004,1
300086,2025-07-06,1041,2069,1
300087,2023-09-05,1002,2256,2
300088,2020-12-03,1028,2030,1
300089,2023-10-21,1034,2240,1
300090,2021-08-29,1021,2005,2
300091,2020-06-14,1045,2235,1
300092,2024-04-16,1041,2082,1
300093,2025-08-20,1059,2143,1
300094,2023-08-17,1031,2312,1
300095,2021-12-29,1033,2177,1
300096,2025-08-05,1016,2025,1
300097,2020-04-11,1024,2279,3
300098,2023-11-16,1002,2106,2
300099,2022-02-17,1042,2188,2
300100,2020-08-01,1019,2229,1
300101,2023-01-16,1033,2250,1
300102,2024-04-25,1016,2141,1
300103,2024-08-22,1038,2248,1
300104,2021-08-14,1028,2039,4
300105,2023-08-26,1030,2169,1
300106,2023-01-14,1057,2008,1
300107,2021-12-14,1043,2132,1
300108,2022-07-24,1017,2119,1
300109,2025-05-05,1031,2313,1
300110,2020-08-29,1029,2129,1
300111,2025-08-05,1048,2290,1
300112,2020-01-02,1050,2142,1
300113,2024-11-03,1018,2171,2
300114,2025-05-03,1050,2114,1
300115,2022-07-06,1012,2205,1
300116,2020-03-30,1046,2238,3
300117,2024-09-05,1016,2254,1
300118,2020-05-22,1019,2223,2
300119,2020-04-15,1051,2108,1
300120,2022-06-05,1026,2108,1
300121,2021-03-03,1060,2113,1
300122,2023-08-21,1009,2013,1
300123,2025-03-10,1029,2302,1
300124,2025-06-17,1044,2064,2
300125,2020-11-12,1001,2052,2
300126,2025-06-09,1009,2177,1
300127,2021-09-26,1002,2016,3
300128,2025-04-09,1060,2268,2
300129,2025-08-18,1046,2280,1
300130,2023-12-10,1023,2129,1
300131,2021-07-06,1010,2310,1
300132,2021-12-16,1006,2106,1
300133,2023-07-11,1033,2086,1
300134,2024-09-09,1059,2317,4
300135,2025-02-26,1041,2082,1
300136,2023-01-12,1023,2144,1
300137,2023-09-03,1031,2197,1
300138,2020-04-20,1060,2105,1
300139,2020-09-07,1032,2125,1
300140,2025-08-16,1059,2232,1
300141,2021-04-03,1001,2233,2
300142,2023-01-12,1044,2258,1
300143,2020-07-26,1038,2190,2
300144,2022-06-18,1042,2076,1
300145,2020-01-22,1035,2109,1
300146,2021-02-13,1003,2288,2
300147,2022-06-13,1009,2236,3
300148,2021-05-29,1056,2030,1
300149,2022-03-19,1015,2242,2
300150,2022-05-23,1060,2108,1
300151,2020-01-14,1041,2008,1
300152,2022-08-28,1028,2156,1
300153,2024-04-09,1056,2283,2
300154,2023-08-17,1048,2144,1
300155,2023-06-20,1027,2316,1
300156,2022-01-19,1004,2058,1
300157,2021-11-15,1052,2114,1
300158,2025-04-11,1046,2006,1
300159,2021-11-25,1048,2017,1
300160,2020-11-02,1045,2115,1
300161,2025-06-12,1017,2170,1
300162,2021-10-23,1052,2078,1
300163,2021-07-02,1001,2055,1
300164,2020-11-07,1015,2137,1
300165,2022-12-18,1003,2056,1
300166,2024-10-03,1007,2203,2
300167,2022-01-24,1033,2306,1
300168,2020-02-04,1003,2259,1
300169,2021-03-20,1012,2070,1
300170,2025-06-05,1015,2304,1
300171,2023-05-15,1040,2241,2
300172,2020-12-18,1029,2051,1
300173,2022-06-21,1028,2185,2
300174,2023-09-17,1046,2309,1
300175,2024-10-14,1028,2033,2
300176,2020-06-07,1022,2089,1
300177,2025-05-31,1058,2122,1
300178,2022-08-14,1001,2038,1
300179,2025-09-02,1019,2098,1
300180,2021-02-07,1037,2223,1
300181,2021-05-30,1047,2154,1
300182,2023-10-19,1049,2137,2
300183,2022-08-13,1003,2141,1
300184,2024-09-08,1043,2244,1
300185,2021-08-30,1044,2317,1
300186,2023-06-27,1014,2189,4
300187,2024-03-15,1007,2241,4
300188,2023-12-12,1045,2121,1
300189,2024-12-02,1016,2275,1
300190,2020-10-21,1001,2137,1
300191,2022-01-24,1014,2299,1
300192,2023-10-26,1002,2239,1
300193,2020-07-04,1016,2227,1
300194,2023-06-23,1021,2095,1
300195,2021-09-28,1017,2255,1
300196,2023-07-15,1056,2035,1
300197,2021-06-13,1015,2173,1
300198,2025-08-30,1029,2237,1
300199,2022-03-04,1058,2283,1
300200,2021-04-22,1053,2182,1
300201,2024-06-10,1019,2085,1
300202,2022-07-28,1020,2271,1
300203,2021-06-09,1036,2247,1
300204,2020-01-02,1056,2051,4
300205,2021-01-09,1001,2279,1
300206,2021-07-06,1024,2307,1
300207,2024-03-05,1051,2173,1
300208,2025-01-25,1026,2013,2
300209,2021-01-15,1044,2293,3
300210,2024-07-04,1042,2041,1
300211,2020-01-14,1013,2203,1
300212,2021-05-18,1028,2130,1
300213,2025-07-01,1034,2318,1
300214,2020-05-09,1043,2293,1
300215,2022-04-17,1050,2252,1
300216,2025-08-02,1046,2065,2
300217,2020-01-28,1002,2225,1
300218,2023-06-06,1041,2183,1
300219,2020-09-17,1031,2045,1
300220,2025-08-08,1035,2255,1
300221,2024-01-12,1023,2029,2
300222,2023-12-18,1043,2155,1
300223,2021-04-04,1041,2139,1
300224,2020-10-27,1035,2259,1
300225,2021-09-21,1052,2139,2
300226,2020-09-26,1007,2223,2
300227,2025-06-16,1019,2154,2
300228,2024-06-16,1030,2186,2
300229,2024-12-06,1058,2079,1
300230,2022-05-11,1005,2066,1
300231,2023-07-04,1021,2228,2
300232,2024-12-04,1056,2041,2
300233,2024-09-02,1055,2057,1
300234,2021-07-29,1052,2301,1
300235,2025-06-26,1019,2083,1
300236,2023-07-31,1051,2105,1
300237,2025-05-10,1031,2203,1
300238,2025-07-13,1038,2143,1
300239,2024-07-13,1015,2179,1
300240,2024-04-28,1043,2048,2
300241,2025-01-21,1020,2216,2
300242,2023-10-22,1021,2052,1
300243,2024-10-08,1039,2240,1
300244,2025-04-09,1015,2168,1
300245,2021-09-11,1014,2262,1
300246,2023-06-28,1023,2057,1
300247,2022-08-14,1047,2123,1
300248,2025-04-23,1014,2271,1
300249,2022-08-26,1047,2256,1
300250,2023-08-09,1042,2309,1
300251,2022-11-09,1041,2073,1
300252,2020-10-08,1029,2173,2
300253,2022-11-24,1045,2006,1
300254,2020-07-16,1001,2308,1
300255,2022-12-18,1019,2057,1
300256,2023-03-30,1041,2289,1
300257,2022-10-05,1060,2218,2
300258,2023-05-14,1001,2300,1
300259,2022-11-01,1031,2082,1
300260,2021-05-04,1056,2112,1
300261,2020-10-02,1052,2054,1
300262,2023-05-24,1002,2138,1
300263,2023-06-28,1032,2303,1
300264,2020-05-05,1001,2183,1
300265,2020-08-04,1048,2136,1
300266,2023-04-23,1019,2106,2
300267,2023-05-31,1046,2187,1
300268,2022-07-07,1057,2233,1
300269,2023-08-10,1059,2132,1
300270,2024-07-19,1054,2075,1
300271,2020-11-03,1013,2187,1
300272,2023-09-21,1013,2119,1
300273,2025-05-23,1038,2318,1
300274,2022-06-10,1033,2144,1
300275,2021-01-09,1001,2141,1
300276,2025-07-26,1024,2269,1
300277,2023-09-26,1055,2083,1
300278,2020-05-08,1055,2022,1
300279,2022-10-11,1013,2273,1
300280,2024-12-04,1024,2189,1
300281,2023-10-13,1034,2086,2
300282,2021-05-31,1051,2112,1
300283,2024-02-27,1033,2139,1
300284,2020-03-26,1059,2219,1
300285,2023-04-13,1048,2152,1
300286,2023-02-16,1058,2129,1
300287,2025-06-16,1044,2251,3
300288,2020-10-29,1053,2024,2
300289,2021-08-10,1050,2210,1
300290,2022-09-13,1016,2146,1
300291,2025-02-06,1015,2109,1
300292,2020-12-10,1052,2297,1
300293,2022-03-24,1006,2250,1
300294,2025-06-10,1026,2072,1
300295,2023-08-03,1050,2210,1
300296,2025-06-22,1049,2264,2
300297,2024-08-04,1009,2317,2
300298,2023-08-20,1030,2225,1
300299,2022-12-28,1030,2222,1
300300,2022-10-06,1020,2197,1
300301,2021-12-04,1056,2013,1
300302,2021-07-28,1040,2187,2
300303,2024-05-27,1059,2259,1
300304,2023-01-17,1004,2129,1
300305,2021-11-18,1024,2188,1
300306,2021-05-03,1050,2296,1
300307,2023-09-09,1026,2056,1
300308,2021-05-08,1017,2093,1
300309,2024-07-25,1060,2037,2
300310,2024-06-25,1053,2161,1
300311,2020-01-19,1033,2269,1
300312,2022-09-27,1034,2142,1
300313,2022-04-30,1001,2023,1
300314,2023-10-20,1059,2087,1
300315,2023-09-16,1049,2285,2
300316,2023-09-29,1003,2179,1
300317,2022-04-01,1012,2293,1
300318,2021-03-30,1050,2267,1
300319,2024-06-12,1006,2135,1
300320,2021-12-11,1057,2203,3
300321,2022-07-05,1060,2214,1
300322,2024-02-05,1054,2240,1
300323,2023-12-11,1045,2109,1
300324,2020-10-31,1030,2095,1
300325,2022-01-05,1005,2220,1
300326,2025-05-17,1044,2263,1
300327,2025-07-02,1024,2135,1
300328,2022-08-19,1035,2105,1
300329,2022-10-23,1018,2265,1
300330,2024-01-13,1015,2221,1
300331,2025-05-01,1020,2112,1
300332,2023-03-23,1049,2170,2
300333,2021-10-26,1027,2307,2
300334,2020-01-12,1019,2241,1
300335,2023-03-02,1027,2073,1
300336,2020-10-30,1002,2097,2
300337,2024-10-29,1054,2087,1
300338,2020-02-12,1034,2271,1
300339,2022-08-01,1007,2206,1
300340,2023-09-11,1018,2301,1
300341,2022-06-09,1060,2031,1
300342,2022-10-01,1036,2017,1
300343,2020-01-21,1018,2217,2
300344,2021-02-10,1027,2088,1
300345,2022-10-11,1016,2218,1
300346,2020-12-01,1002,2233,1
300347,2025-01-12,1051,2100,1
300348,2023-02-21,1018,2305,1
300349,2025-01-01,1051,2249,1
300350,2021-12-15,1030,2120,2
300351,2020-02-20,1012,2134,2
300352,2020-11-19,1048,2230,1
300353,2022-02-27,1023,2100,2
300354,2020-05-20,1043,2097,1
300355,2021-04-14,1051,2201,2
300356,2022-02-25,1058,2044,1
300357,2024-12-30,1006,2318,1
300358,2023-09-19,1001,2095,1
300359,2025-03-31,1033,2125,1
300360,2022-08-21,1017,2073,1
300361,2021-01-07,1029,2207,1
300362,2024-08-19,1005,2020,1
300363,2023-03-25,1031,2297,1
300364,2024-07-29,1008,2100,1
300365,2020-04-15,1051,2297,1
300366,2023-12-14,1046,2083,1
300367,2024-08-08,1005,2165,1
300368,2020-01-02,1051,2224,1
300369,2020-12-15,1020,2197,1
300370,2023-07-10,1022,2165,1
300371,2022-11-28,1012,2253,2
300372,2021-03-20,1050,2152,1
300373,2022-08-09,1025,2109,1
300374,2020-02-05,1003,2231,1
300375,2023-01-12,1059,2300,1
300376,2024-01-15,1016,2193,1
300377,2024-12-03,1057,2092,1
300378,2025-01-19,1019,2245,1
300379,2023-11-09,1050,2245,1
300380,2023-04-10,1040,2088,2
300381,2023-10-31,1052,2125,1
300382,2024-09-04,1059,2047,2
300383,2023-10-17,1053,2027,1
300384,2023-07-24,1025,2259,2
300385,2023-05-28,1049,2121,2
300386,2021-06-04,1043,2093,2
300387,2024-12-11,1004,2084,1
300388,2020-01-10,1056,2025,1
300389,2022-09-10,1029,2315,2
300390,2024-07-14,1008,2120,1
300391,2024-07-18,1027,2054,1
300392,2021-12-20,1037,2276,1
300393,2022-12-08,1035,2233,3
300394,2022-05-08,1035,2213,1
300395,2023-08-09,1016,2097,1
300396,2024-05-22,1039,2135,1
300397,2020-02-19,1055,2269,1
300398,2020-05-25,1024,2205,1
300399,2022-07-03,1038,2113,1
300400,2024-01-02,1015,2036,1
300401,2021-08-03,1003,2288,2
300402,2024-05-03,1036,2306,1
300403,2021-04-27,1003,2232,1
300404,2023-06-03,1044,2222,1
300405,2021-11-03,1041,2173,1
300406,2021-09-22,1023,2311,1
300407,2021-10-23,1026,2223,1
300408,2022-09-14,1056,2026,1
300409,2024-03-26,1001,2031,1
300410,2021-10-11,1034,2308,4
300411,2022-08-26,1056,2302,1
300412,2023-01-05,1055,2179,1
300413,2021-03-16,1036,2070,1
300414,2022-07-09,1024,2187,1
300415,2022-02-08,1006,2245,1
300416,2023-09-05,1012,2003,1
300417,2024-12-31,1041,2264,1
300418,2020-09-19,1001,2151,1
300419,2024-04-26,1053,2150,2
300420,2022-09-25,1036,2141,1
300421,2021-11-30,1003,2222,1
300422,2024-05-22,1015,2069,1
300423,2023-05-26,1036,2195,2
300424,2023-01-30,1002,2015,1
300425,2023-04-05,1047,2260,1
300426,2022-10-02,1056,2262,1
300427,2020-02-05,1058,2102,1
300428,2022-01-13,1044,2035,1
300429,2024-10-30,1052,2240,1
300430,2020-12-18,1037,2152,1
300431,2025-04-06,1028,2296,4
300432,2020-03-13,1043,2115,2
300433,2023-10-08,1014,2269,1
300434,2025-03-29,1007,2009,1
300435,2022-12-29,1046,2248,3
300436,2021-12-08,1058,2218,1
300437,2024-12-09,1035,2169,1
300438,2022-08-13,1030,2291,1
300439,2020-06-08,1033,2301,1
300440,2024-10-01,1030,2297,2
300441,2024-05-04,1028,2192,1
300442,2020-03-07,1058,2167,2
300443,2020-02-27,1030,2089,2
300444,2020-12-07,1005,2053,1
300445,2023-02-27,1046,2179,1
300446,2023-04-10,1024,2049,2
300447,2023-05-17,1043,2056,1
300448,2024-02-03,1035,2116,1
300449,2024-12-26,1043,2061,1
300450,2020-04-25,1004,2161,1
300451,2021-10-23,1002,2213,1
300452,2024-01-05,1023,2224,1
300453,2025-02-11,1042,2171,2
300454,2022-10-13,1014,2168,2
300455,2020-11-06,1027,2153,1
300456,2020-07-26,1059,2080,1
300457,2021-09-24,1014,2210,2
300458,2021-10-18,1051,2211,1
300459,2023-11-24,1050,2084,1
300460,2025-04-15,1054,2225,1
300461,2024-08-06,1056,2274,1
300462,2020-08-24,1031,2191,2
300463,2020-12-13,1041,2039,3
300464,2021-09-21,1038,2107,1
300465,2024-03-20,1019,2031,1
300466,2025-06-26,1018,2099,1
300467,2023-06-25,1021,2069,1
300468,2020-12-29,1014,2178,1
300469,2020-10-12,1046,2138,2
300470,2020-05-28,1059,2233,1
300471,2023-01-12,1052,2118,1
300472,2021-03-31,1014,2051,1
300473,2024-11-01,1003,2077,2
300474,2022-03-10,1046,2175,1
300475,2023-03-30,1024,2146,1
300476,2022-10-09,1050,2014,1
300477,2024-03-03,1047,2069,1
300478,2021-04-25,1038,2097,1
300479,2024-08-13,1016,2234,2
300480,2024-05-20,1007,2235,2
300481,2020-12-06,1016,2224,1
300482,2025-07-03,1031,2263,1
300483,2025-02-09,1059,2280,3
300484,2022-04-14,1004,2024,1
300485,2023-04-18,1013,2159,1
300486,2024-09-21,1038,2049,2
300487,2024-08-16,1019,2115,1
300488,2020-11-06,1052,2213,1
300489,2020-09-18,1009,2193,1
300490,2023-12-13,1058,2043,1
300491,2021-02-09,1055,2243,1
300492,2020-12-07,1054,2253,2
300493,2023-09-01,1011,2046,1
300494,2020-08-31,1020,2198,3
300495,2021-05-04,1048,2302,1
300496,2020-01-12,1049,2032,2
300497,2021-07-14,1043,2054,1
300498,2020-02-11,1028,2246,1
300499,2021-08-16,1019,2110,1
300500,2023-12-23,1058,2306,1
300501,2024-12-31,1009,2201,1
300502,2024-08-20,1003,2156,2
300503,2020-05-13,1001,2110,1
300504,2022-08-05,1047,2079,2
300505,2020-03-13,1004,2209,1
300506,2021-02-02,1033,2190,1
300507,2023-11-29,1023,2117,1
300508,2020-05-09,1009,2294,2
300509,2024-12-16,1045,2245,1
300510,2025-06-24,1004,2086,1
300511,2020-09-22,1020,2302,2
300512,2024-04-09,1034,2243,2
300513,2025-06-08,1025,2287,1
300514,2022-03-03,1016,2045,1
300515,2023-08-05,1056,2011,2
300516,2020-06-12,1056,2159,1
300517,2020-04-04,1026,2146,1
300518,2024-12-10,1024,2278,2
300519,2023-02-07,1019,2056,1
300520,2022-04-01,1052,2008,1
300521,2020-08-25,1035,2170,2
300522,2025-05-14,1006,2058,1
300523,2022-11-14,1051,2016,1
300524,2024-08-03,1033,2008,2
300525,2022-08-21,1026,2047,4
300526,2021-06-20,1021,2122,1
300527,2024-05-22,1006,2283,1
300528,2025-06-02,1058,2244,1
300529,2020-05-07,1045,2170,1
300530,2020-04-01,1008,2140,1
300531,2021-06-26,1031,2148,1
300532,2022-04-25,1034,2283,1
300533,2024-08-08,1011,2233,1
300534,2025-01-25,1027,2056,2
300535,2021-01-24,1039,2301,1
300536,2025-02-27,1018,2248,1
300537,2020-02-12,1021,2012,2
300538,2020-09-10,1008,2161,2
300539,2022-12-19,1026,2210,2
300540,2024-03-20,1036,2020,1
300541,2025-05-07,1007,2115,1
300542,2021-10-03,1037,2208,1
300543,2021-11-20,1025,2262,2
300544,2023-06-30,1041,2312,1
300545,2025-05-04,1020,2040,2
300546,2022-12-15,1035,2203,1
300547,2024-01-26,1037,2286,1
300548,2021-04-01,1042,2231,1
300549,2022-09-09,1046,2203,1
300550,2023-01-27,1008,2070,1
300551,2020-05-28,1059,2262,1
300552,2023-09-14,1051,2180,1
300553,2023-03-25,1034,2037,1
300554,2020-07-08,1054,2299,1
300555,2022-06-01,1024,2316,1
300556,2021-02-03,1002,2173,1
300557,2021-08-31,1044,2249,1
300558,2024-11-30,1057,2187,1
300559,2024-06-26,1010,2138,1
300560,2024-04-24,1039,2133,2
300561,2023-10-14,1049,2308,1
300562,2023-11-04,1055,2120,1
300563,2022-03-30,1017,2158,1
300564,2022-03-30,1008,2082,2
300565,2021-02-23,1016,2083,1
300566,2020-05-03,1035,2116,1
300567,2021-02-25,1056,2296,1
300568,2024-02-17,1035,2129,1
300569,2024-05-16,1056,2177,2
300570,2022-02-06,1046,2175,1
300571,2025-08-06,1037,2187,1
300572,2024-03-29,1002,2263,1
300573,2024-10-30,1021,2288,2
300574,2025-08-06,1004,2068,1
300575,2021-05-24,1020,2275,2
300576,2023-04-21,1004,2176,1
300577,2021-01-20,1011,2296,3
300578,2024-05-16,1026,2293,2
300579,2022-01-11,1032,2127,1
300580,2025-03-26,1014,2209,1
300581,2023-12-17,1044,2279,1
300582,2022-06-19,1036,2125,1
300583,2025-07-02,1042,2015,1
300584,2020-08-29,1044,2117,1
300585,2025-07-13,1044,2119,1
300586,2020-06-21,1057,2259,1
300587,2021-11-02,1015,2101,1
300588,2020-06-12,1017,2286,2
300589,2021-04-09,1006,2176,1
300590,2021-05-11,1036,2188,2
300591,2021-11-30,1024,2259,1
300592,2021-12-03,1031,2044,1
300593,2025-04-24,1011,2006,1
300594,2024-11-26,1040,2019,1
300595,2020-07-01,1038,2011,1
300596,2021-09-20,1017,2225,1
300597,2024-09-27,1029,2080,1
300598,2021-06-29,1054,2274,1
300599,2024-05-06,1047,2283,1
300600,2021-09-15,1015,2116,1
300601,2021-08-16,1053,2064,1
300602,2022-01-13,1004,2160,1
300603,2024-11-03,1026,2262,1
300604,2023-12-30,1005,2220,1
300605,2025-05-02,1056,2009,2
300606,2025-08-30,1003,2003,1
300607,2020-04-14,1009,2038,1
300608,2020-01-17,1056,2110,1
300609,2021-01-27,1035,2172,3
300610,2021-02-28,1048,2262,1
300611,2021-07-25,1001,2047,1
300612,2025-09-07,1026,2050,2
300613,2023-01-25,1060,2276,1
300614,2020-08-29,1035,2296,2
300615,2022-02-27,1051,2177,1
300616,2021-12-15,1058,2252,1
300617,2022-01-28,1042,2112,1
300618,2022-02-14,1020,2303,1
300619,2020-03-19,1019,2290,1
300620,2022-05-05,1005,2272,3
300621,2023-12-10,1027,2005,1
300622,2022-10-28,1056,2168,4
300623,2022-04-24,1030,2009,1
300624,2020-03-27,1055,2218,1
300625,2025-09-21,1049,2060,4
300626,2021-02-11,1060,2205,1
300627,2024-07-26,1058,2033,2
300628,2020-05-27,1043,2243,1
300629,2020-08-19,1053,2234,1
300630,2025-05-04,1045,2002,1
300631,2020-12-31,1043,2254,1
300632,2024-08-01,1043,2054,1
300633,2021-03-11,1044,2036,1
300634,2021-02-02,1024,2161,1
300635,2023-05-19,1026,2189,1
300636,2023-11-15,1018,2034,1
300637,2021-07-16,1009,2100,2
300638,2023-07-08,1028,2133,1
300639,2022-02-11,1055,2302,1
300640,2025-07-30,1040,2083,2
300641,2023-09-05,1004,2086,1
300642,2024-04-22,1049,2212,1
300643,2022-09-18,1057,2234,1
300644,2023-05-31,1050,2004,1
300645,2020-12-25,1044,2044,1
300646,2022-07-09,1009,2117,1
300647,2022-08-20,1022,2203,2
300648,2025-01-01,1034,2044,1
300649,2024-06-01,1005,2116,1
300650,2024-06-28,1007,2027,1
300651,2020-08-04,1057,2183,3
300652,2021-01-12,1043,2139,1
